Id	Name
0	Shore
1	Top deck
2	Cockpit
3	Companionway
4	Galley
5	Saloon
6	Master suite
7	Port cabin
8	Engine space
9	Nav Station
10	Stern Lazarette
11	Sail Locker
12	Transom
13	Settee
14	Starboard cabin
15	Aft heads
16	Port Lazarette
17	Stb Lazarette
18	Landing
